Unnamed: 0,Alpha_1,Alpha_2,Alpha_3,Alpha_4,Beta_1,Beta_2,Beta_3,Beta_4,Delta_1,Delta_2,Delta_3,Delta_4,Theta_1,Theta_2,Theta_3,Theta_4,Gamma_1,Gamma_2,Gamma_3,Gamma_4,Section,slideNumber
15683,0.0,0.047,0.82,0.18100000000000002,0.105,0.114,0.511,0.037000000000000005,0.519,0.138,0.34600000000000003,0.28,0.389,0.095,0.231,0.244,0.086,0.013999999999999999,0.434,0.542,1.0,2.0
15684,0.066,0.289,0.8370000000000001,0.162,0.11800000000000001,0.156,0.53,0.022000000000000002,0.521,0.125,0.361,0.29,0.387,0.106,0.237,0.239,0.113,0.201,0.40299999999999997,0.623,1.0,2.0
15685,0.126,0.46,0.812,0.10800000000000001,0.136,0.174,0.536,0.004,0.522,0.125,0.365,0.293,0.374,0.113,0.237,0.237,0.16399999999999998,0.27699999999999997,0.371,0.716,1.0,2.0
15686,0.18100000000000002,0.51,0.763,0.027999999999999997,0.154,0.17,0.534,0.013999999999999999,0.531,0.138,0.374,0.294,0.36,0.11800000000000001,0.237,0.24,0.217,0.28600000000000003,0.345,0.789,1.0,2.0
15687,0.22399999999999998,0.508,0.7070000000000001,0.045,0.168,0.158,0.5329999999999999,0.031,0.552,0.14300000000000002,0.385,0.295,0.349,0.122,0.244,0.245,0.253,0.28300000000000003,0.32799999999999996,0.8220000000000001,1.0,2.0
15688,0.248,0.498,0.659,0.08800000000000001,0.175,0.14400000000000002,0.5379999999999999,0.045,0.5720000000000001,0.152,0.39799999999999996,0.295,0.342,0.125,0.262,0.25,0.266,0.27,0.318,0.826,1.0,2.0
15689,0.255,0.496,0.624,0.099,0.179,0.132,0.55,0.054000000000000006,0.586,0.155,0.397,0.299,0.358,0.126,0.292,0.255,0.27699999999999997,0.255,0.312,0.8240000000000001,1.0,2.0
15690,0.276,0.505,0.604,0.087,0.201,0.124,0.5670000000000001,0.051,0.598,0.156,0.397,0.321,0.38,0.11900000000000001,0.331,0.254,0.28,0.244,0.309,0.826,1.0,2.0
15691,0.307,0.523,0.599,0.09699999999999999,0.22899999999999998,0.125,0.5870000000000001,0.046,0.614,0.156,0.40299999999999997,0.35700000000000004,0.39899999999999997,0.10400000000000001,0.369,0.24,0.282,0.247,0.312,0.831,1.0,2.0
15692,0.34700000000000003,0.5429999999999999,0.605,0.127,0.255,0.135,0.611,0.045,0.62,0.156,0.41700000000000004,0.37,0.405,0.083,0.397,0.213,0.282,0.265,0.321,0.8340000000000001,1.0,2.0
15693,0.387,0.56,0.612,0.16,0.271,0.149,0.6409999999999999,0.055,0.623,0.156,0.44799999999999995,0.37,0.397,0.063,0.409,0.179,0.278,0.298,0.341,0.8290000000000001,1.0,2.0
15694,0.41700000000000004,0.5770000000000001,0.615,0.18600000000000003,0.275,0.162,0.677,0.079,0.623,0.156,0.506,0.37,0.382,0.049,0.41100000000000003,0.15,0.268,0.349,0.37,0.818,1.0,2.0
15695,0.43200000000000005,0.605,0.615,0.201,0.27399999999999997,0.17,0.713,0.113,0.619,0.161,0.515,0.364,0.375,0.043,0.409,0.14800000000000002,0.273,0.41600000000000004,0.39299999999999996,0.833,1.0,2.0
15696,0.45,0.643,0.618,0.225,0.27699999999999997,0.174,0.746,0.13699999999999998,0.607,0.172,0.515,0.34,0.35600000000000004,0.037000000000000005,0.408,0.15,0.28800000000000003,0.474,0.401,0.852,1.0,2.0
15697,0.46299999999999997,0.675,0.621,0.249,0.284,0.175,0.77,0.158,0.5820000000000001,0.19,0.517,0.324,0.32799999999999996,0.025,0.41200000000000003,0.151,0.311,0.467,0.377,0.8690000000000001,1.0,2.0
15698,0.47100000000000003,0.6609999999999999,0.614,0.272,0.292,0.175,0.779,0.17,0.5379999999999999,0.22,0.515,0.32299999999999995,0.304,0.006999999999999999,0.42200000000000004,0.151,0.33,0.35100000000000003,0.311,0.875,1.0,2.0
15699,0.475,0.5820000000000001,0.58,0.29100000000000004,0.295,0.17600000000000002,0.77,0.17300000000000001,0.49700000000000005,0.276,0.5,0.302,0.297,0.01,0.43799999999999994,0.149,0.331,0.16899999999999998,0.233,0.852,1.0,2.0
15700,0.473,0.47200000000000003,0.523,0.297,0.28800000000000003,0.182,0.75,0.168,0.48,0.276,0.451,0.29100000000000004,0.307,0.015,0.46,0.141,0.305,0.006,0.171,0.784,1.0,2.0
15701,0.465,0.37200000000000005,0.466,0.28,0.27399999999999997,0.193,0.731,0.157,0.47600000000000003,0.255,0.40700000000000003,0.284,0.324,0.006999999999999999,0.483,0.121,0.251,0.105,0.138,0.669,1.0,2.0
15702,0.45299999999999996,0.303,0.426,0.242,0.261,0.20199999999999999,0.72,0.14,0.473,0.221,0.409,0.256,0.342,0.006,0.503,0.085,0.18100000000000002,0.163,0.128,0.541,1.0,2.0
15703,0.449,0.262,0.40700000000000003,0.20600000000000002,0.259,0.205,0.7170000000000001,0.122,0.46799999999999997,0.18899999999999997,0.45299999999999996,0.217,0.358,0.017,0.516,0.033,0.125,0.187,0.131,0.44799999999999995,1.0,2.0
15704,0.465,0.24100000000000002,0.402,0.20199999999999999,0.265,0.198,0.7170000000000001,0.109,0.46799999999999997,0.135,0.507,0.2,0.359,0.021,0.517,0.033,0.10400000000000001,0.195,0.136,0.402,1.0,2.0
15705,0.491,0.23,0.401,0.22,0.26899999999999996,0.184,0.715,0.11,0.46799999999999997,0.092,0.525,0.19699999999999998,0.32799999999999996,0.019,0.507,0.107,0.11800000000000001,0.2,0.14,0.35100000000000003,1.0,2.0
15706,0.505,0.226,0.4,0.228,0.261,0.16899999999999998,0.708,0.13699999999999998,0.46799999999999997,0.054000000000000006,0.521,0.19699999999999998,0.32799999999999996,0.013000000000000001,0.494,0.107,0.11800000000000001,0.20600000000000002,0.145,0.35100000000000003,1.0,2.0
